method,episode,env_idx,steps,ep_return,success,safety_violations,failures_detected,recoveries_attempted,recoveries_succeeded,time_to_recover,planning_ms,wall_clock_s
gatsr_full,1,1,66,-3.879849672317505,0,15,11,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,2,67,-3.703920364379883,0,18,11,1,1,18.0,5.178435293012573,2.8372757000033744
gatsr_full,1,3,63,-3.876413345336914,0,17,11,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,4,68,-3.968900203704834,0,17,12,1,0,-1.0,5.178435293012573,2.8372757000033744
gatsr_full,1,5,66,-3.934019088745117,0,17,10,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,6,65,-4.18754243850708,0,17,11,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,7,62,-3.940363645553589,0,15,10,1,1,16.0,5.178435293012573,2.8372757000033744
gatsr_full,1,8,68,-3.702998638153076,0,18,12,1,0,-1.0,5.178435293012573,2.8372757000033744
gatsr_full,1,9,65,-3.4841394424438477,0,17,11,1,1,18.0,5.178435293012573,2.8372757000033744
gatsr_full,1,10,58,-4.4377851486206055,0,16,9,1,1,15.0,5.178435293012573,2.8372757000033744
gatsr_full,1,11,64,-4.077702045440674,0,13,13,3,3,6.0,5.178435293012573,2.8372757000033744
gatsr_full,1,12,68,-4.614130973815918,0,13,10,1,0,-1.0,5.178435293012573,2.8372757000033744
gatsr_full,1,13,64,-3.9858930110931396,0,16,10,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,14,67,-3.7162187099456787,0,17,13,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,1,15,66,-4.1057868003845215,0,18,10,1,1,17.0,5.178435293012573,2.8372757000033744
gatsr_full,2,0,66,-4.036640644073486,0,17,10,1,1,17.0,5.903420291598076,3.218432900030166
gatsr_full,2,1,65,-4.0245842933654785,0,17,12,1,1,17.0,5.903420291598076,3.218432900030166
gatsr_full,2,2,62,-4.30805778503418,0,16,10,1,1,17.0,5.903420291598076,3.218432900030166
gatsr_full,2,3,63,-4.138710975646973,0,15,11,2,2,9.0,5.903420291598076,3.218432900030166
gatsr_full,2,4,62,-4.292222023010254,0,17,16,4,4,5.0,5.903420291598076,3.218432900030166
